S.No.,Project Name,Department,PI / Main Contact,Co-PI / Other Investigators,Funding Agency,From,To,Amount (Rs.),Status
26.,"Analysis of the standards ISO/IEC 15944-8:2012 Business Operational view – Part 8 Identification of privacy protection requirements as external constraints on business transactions, and their suitability for adoption as Indian Standards as per National Industrial Ecosystem",CSE,Dr. Kunwar Pal,"Dr. Lalatendu Behera, Dr. Prashant Kumar, Dr. Nisha Chaurasia",BIS,Feb-25,Aug-25,660000,Ongoing
27.,Study of Mitigration Strategies for Coastal Hazards Specific to Indian Coastlines,,Dr Samayveer Singh,"Dr Aruna Malik, Dr Vijay Kumar, Dr K Senthil",BIS,Dec-24,Jun-25,338300,Ongoing
28.,Study of general and functional requirements of high tech repetitive transcranial magnetic stimulator (RTMS) - MHD0160,CSE,Dr. Jagdeep Kaur,"Dr. Darwin, AIIMS, Jammu, Dr. Rajneesh Rani (NITJ), Dr. Shveta Mahajan",BIS,Oct-24,Sep-25,1000000,Ongoing
29.,A light weight path-planning scheme for multi-UAVs based on gravitational potential field,CSE,Dr. Kunwarpal,-,SERB-DST,Feb-24,Feb-27,2134264,Ongoing
30.,Jamming Signal Initiated drone tracking system based on passive radar principle,ECE,Dr Sukwinder Singh,Prof. Binod Kumar Kanaujia,Indian Army,Jan-25,Aug-25,6157000,Ongoing
31.,Design and Development of Flexible Smart Textiles Integrated with Antenna for Wearable Applications,ECE,Dr. Binod Kumar Kanaujia,Dr Aijaz Mehdi Zaidi & Prof. Arunangshu Mukhopadhyay,NTTM,Oct-24,Jan-26,4994000,Ongoing
32.,Monitoring and Surveillance System Design using Custom Plane,ECE,Dr Sukwinder Singh & Dr Manjeet Singh,,SwaYaan scheme,Apr-24,Apr-25,250000,Ongoing
33.,Design of FinFET architectures for analog/RF and biomedical applications,ECE,Dr Balwinder Raj (Mentor),"Dr Suman Lata Tripathi, LPU Phagwara, Jalandhar",SERB,Jan-24,Jan-26,1830000,Ongoing
34.,Frequency reconfigurable/multi-band RF passive circuits and load modulated balanced amplifier for 5G,ECE,Dr. Aijaz Mehdi Zaidi,-,DST-SERB,Jan-24,Jan-26,2204710,Ongoing
35.,Design and development of Ultra-Low Power CMOS IC for wireless neural monitoring system,ECE,Dr. Sandeep (NITK),Dr. Ashutosh Kar,DST,Oct-23,Oct-26,4275000,Ongoing
36.,Adaptive methods for channel and RF front-end equalization in NOMA systems,ECE,Dr. Ashutosh Kar,Dr. Sandeep (NITK),DST,Aug-23,Aug-26,2859000,Ongoing
37.,Visvesvaraya PhD fellowship for Electronics and IT-Phase- I,Institute,Dr Ashish Raman (Nodal Officer),-,MeitY,Aug-23,Aug-28,18154000,Ongoing
38.,Design and development of System on Chip based next generation IoT System for Industry 4.0 with Functional Safety and Security Features,ECE,Dr Ashish Raman,-,MeitY,May-23,May-27,9600000,Ongoing (overall 48000000 (96 lakhs NITJ)
39.,Design and Development of Terahertz Self-Multiplex Antennas Using Substrate Integrated Waveguide for 6G Wireless Communication System,ECE,Dr. Kundan Kumar,-,ANRF-SERB,Oct-22,Apr-25,1631540,Ongoing
40.,Visvesvaraya PhD fellowship for Electronics and IT-Phase- II,Institute,Dr Ashish Raman (Nodal Officer),-,MeitY,Sep-22,Sep-27,10892400,Ongoing
41.,Capacity building for human resource development in unmanned Aircraft system (Drone Related and Technology),ECE,Dr. Arun Khosla,-,Drone and related technology Project under MEITY,Jul-22,Jul-27,2000000,Ongoing
42.,Deep Learning based Image Plant Phenotyping for Agriculture Crops,IT,Dr. Vikas Chauhan,"Prof. Aruna Tiwari (IIT Indore),CO-PI2 Dr.Milind B. Ratnaparkhe (Principal Scientist,Indian Institute of Soybean Research Indore)",AgriHub: Innovation Hub for Agriculture (AI/ML & Deep Learning CoE) IIT Indore,Apr-25,Mar-26,617000,Ongoing
43.,Design and Development of Agriculture-Artificial Intelligence Based Techniques for Saffron Production in India,IT,Dr. Ranjeet Kumar Rout (PI),Dr. Saiyed Umer (Co-PI),AWADH,Jul-24,Jul-27,2040240,Ongoing
44.,Condition Monitoring of Solid Dielectric used in Submarine power cables under HVAC and HVDC,EE,Dr. Sounak Nandi,,ANRF,05.06.2025,04.06.2028,6714720,Ongoing
45.,Study of performance and constructional requirements of covered conductor for voltage rating upto 110 KV,EE,Dr. Sounak Nandi,"Dr. Harimurugan, Dr. Ravi verma",BIS,July 2024,Jul 2025,912000,Ongoing
46.,Third party quality control work at IIM Amritsar,EE,"Prof. Dilbag Singh, Dr. Kailash Chand Sharma, Dr. Dinesh Shukla , Dr. Raman Bedi",-,CPWD,2021,Dec-25,1573000,Ongoing
